transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale,profit,month,day_of_week,hour,age_group
1134,2022-05-08,09:04:00,106,Male,49.0,Electronics,1.0,50.0,24.0,50.0,26.0,5.0,Sunday,9,36-50
288,2022-02-05,09:59:00,27,Male,28.0,Clothing,4.0,30.0,12.0,120.0,72.0,2.0,Saturday,9,26-35
323,,08:22:00,97,Female,29.0,Beauty,3.0,300.0,150.0,900.0,450.0,,,8,26-35
618,,10:22:00,5,Female,27.0,Beauty,1.0,50.0,26.0,50.0,24.0,,,10,26-35
720,2022-08-04,08:50:00,116,Female,56.0,Beauty,3.0,500.0,235.0,1500.0,795.0,8.0,Thursday,8,51-65
1288,2022-05-04,11:56:00,26,Male,28.0,Clothing,4.0,30.0,9.0,120.0,84.0,5.0,Wednesday,11,26-35
1323,,10:49:00,136,Female,29.0,Beauty,3.0,300.0,114.0,900.0,558.0,,,10,26-35
1618,,06:27:00,118,Female,27.0,Beauty,1.0,50.0,13.5,50.0,36.5,,,6,26-35
1720,2022-10-10,08:51:00,28,Female,56.0,Beauty,3.0,500.0,190.0,1500.0,930.0,10.0,Monday,8,51-65
415,2022-05-01,09:59:00,85,Male,53.0,Clothing,2.0,30.0,8.1,60.0,43.8,5.0,Sunday,9,51-65
736,,08:30:00,97,Male,29.0,Clothing,4.0,25.0,9.75,100.0,61.0,,,8,26-35
929,2022-11-03,10:18:00,40,Female,23.0,Beauty,3.0,25.0,10.5,75.0,43.5,11.0,Thursday,10,18-25
1415,2022-06-03,07:11:00,146,Male,53.0,Clothing,2.0,30.0,15.3,60.0,29.4,6.0,Friday,7,51-65
1736,,08:57:00,87,Male,29.0,Clothing,4.0,25.0,10.25,100.0,59.0,,,8,26-35
1929,,06:50:00,62,Female,23.0,Beauty,3.0,25.0,12.75,75.0,36.75,,,6,18-25
264,,11:03:00,111,Male,47.0,Clothing,3.0,300.0,150.0,900.0,450.0,,,11,36-50
913,2022-12-10,10:52:00,78,Male,29.0,Electronics,3.0,30.0,16.5,90.0,40.5,12.0,Saturday,10,26-35
940,2022-05-01,08:11:00,46,Female,20.0,Electronics,1.0,30.0,9.6,30.0,20.4,5.0,Sunday,8,18-25
1264,,09:23:00,82,Male,47.0,Clothing,3.0,300.0,123.0,900.0,531.0,,,9,36-50
1913,,07:10:00,101,Male,29.0,Electronics,3.0,30.0,14.1,90.0,47.7,,,7,26-35
1940,,09:47:00,56,Female,20.0,Electronics,1.0,30.0,11.1,30.0,18.9,,,9,18-25
101,2022-08-01,08:46:00,24,Male,32.0,Clothing,2.0,300.0,135.0,600.0,330.0,8.0,Monday,8,26-35
1101,,07:47:00,15,Male,32.0,Clothing,2.0,300.0,132.0,600.0,336.0,,,7,26-35
189,2022-02-01,09:44:00,143,Male,63.0,Beauty,1.0,50.0,14.5,50.0,35.5,2.0,Tuesday,9,51-65
317,2022-04-05,07:54:00,117,Male,22.0,Electronics,3.0,30.0,12.0,90.0,54.0,4.0,Tuesday,7,18-25
322,,06:11:00,13,Male,51.0,Electronics,1.0,500.0,125.0,500.0,375.0,,,6,51-65
329,,07:42:00,52,Female,46.0,Electronics,4.0,25.0,8.0,100.0,68.0,,,7,36-50
1189,2022-07-12,06:08:00,104,Male,63.0,Beauty,1.0,50.0,20.5,50.0,29.5,7.0,Tuesday,6,51-65
1317,,08:02:00,144,Male,22.0,Electronics,3.0,30.0,12.0,90.0,54.0,,,8,18-25
1322,,09:56:00,10,Male,51.0,Electronics,1.0,500.0,250.0,500.0,250.0,,,9,51-65
1329,,10:39:00,119,Female,46.0,Electronics,4.0,25.0,9.25,100.0,63.0,,,10,36-50
235,2022-10-03,10:13:00,132,Female,23.0,Electronics,2.0,500.0,275.0,1000.0,450.0,10.0,Monday,10,18-25
300,2022-08-01,09:41:00,138,Female,19.0,Electronics,4.0,50.0,26.5,200.0,94.0,8.0,Monday,9,18-25
964,,08:18:00,15,Male,24.0,Clothing,3.0,300.0,156.0,900.0,432.0,,,8,18-25
1235,2022-04-04,06:44:00,87,Female,23.0,Electronics,2.0,500.0,220.0,1000.0,560.0,4.0,Monday,6,18-25
1300,2022-08-08,08:57:00,7,Female,19.0,Electronics,4.0,50.0,24.0,200.0,104.0,8.0,Monday,8,18-25
1964,2022-02-08,08:27:00,115,Male,24.0,Clothing,3.0,300.0,111.0,900.0,567.0,2.0,Tuesday,8,18-25
269,,11:31:00,87,Male,25.0,Clothing,4.0,500.0,250.0,2000.0,1000.0,,,11,18-25
320,,08:35:00,57,Female,28.0,Electronics,4.0,300.0,159.0,1200.0,564.0,,,8,26-35
673,2022-04-07,10:14:00,18,Female,43.0,Clothing,3.0,500.0,270.0,1500.0,690.0,4.0,Thursday,10,36-50
1269,2022-01-01,08:09:00,71,Male,25.0,Clothing,4.0,500.0,145.0,2000.0,1420.0,1.0,Saturday,8,18-25
1320,2022-02-11,11:55:00,102,Female,28.0,Electronics,4.0,300.0,84.0,1200.0,864.0,2.0,Friday,11,26-35
1673,,07:36:00,42,Female,43.0,Clothing,3.0,500.0,185.0,1500.0,945.0,,,7,36-50
142,2022-08-04,10:05:00,61,Male,35.0,Electronics,4.0,300.0,138.0,1200.0,648.0,8.0,Thursday,10,26-35
223,,11:18:00,61,Female,64.0,Clothing,1.0,25.0,12.0,25.0,13.0,,,11,51-65
666,2022-03-03,10:59:00,49,Male,51.0,Electronics,3.0,50.0,16.0,150.0,102.0,3.0,Thursday,10,51-65
1142,2022-09-11,09:49:00,2,Male,35.0,Electronics,4.0,300.0,114.0,1200.0,744.0,9.0,Sunday,9,26-35
1223,,07:40:00,106,Female,64.0,Clothing,1.0,25.0,9.75,25.0,15.25,,,7,51-65
1666,2022-08-12,10:10:00,125,Male,51.0,Electronics,3.0,50.0,21.0,150.0,87.0,8.0,Friday,10,51-65
107,2022-06-10,09:18:00,75,Female,21.0,Clothing,4.0,300.0,78.0,1200.0,888.0,6.0,Friday,9,18-25
933,,07:53:00,81,Male,22.0,Beauty,1.0,30.0,12.9,30.0,17.1,,,7,18-25
1107,,11:14:00,62,Female,21.0,Clothing,4.0,300.0,102.0,1200.0,792.0,,,11,18-25
1933,2022-12-01,11:04:00,121,Male,22.0,Beauty,1.0,30.0,14.4,30.0,15.6,12.0,Thursday,11,18-25
237,2022-11-04,08:54:00,105,Female,50.0,Beauty,2.0,500.0,165.0,1000.0,670.0,11.0,Friday,8,36-50
335,2022-02-02,09:23:00,2,Female,47.0,Beauty,4.0,30.0,10.8,120.0,76.8,2.0,Wednesday,9,36-50
1237,,09:20:00,48,Female,50.0,Beauty,2.0,500.0,215.0,1000.0,570.0,,,9,36-50
1335,,08:45:00,117,Female,47.0,Beauty,4.0,30.0,8.7,120.0,85.2,,,8,36-50
63,2022-03-02,11:49:00,127,Male,57.0,Electronics,2.0,25.0,6.25,50.0,37.5,3.0,Wednesday,11,51-65
195,,11:51:00,10,Male,52.0,Clothing,1.0,30.0,9.3,30.0,20.7,,,11,51-65
333,2022-06-10,08:15:00,21,Female,54.0,Electronics,4.0,300.0,99.0,1200.0,804.0,6.0,Friday,8,51-65
379,2022-01-06,07:28:00,76,Female,47.0,Clothing,1.0,25.0,8.5,25.0,16.5,1.0,Thursday,7,36-50
490,,06:07:00,43,Male,34.0,Clothing,3.0,50.0,18.5,150.0,94.5,,,6,26-35
530,2022-01-05,07:52:00,8,Female,18.0,Electronics,4.0,30.0,9.0,120.0,84.0,1.0,Wednesday,7,18-25
740,2022-01-12,06:58:00,33,Female,25.0,Beauty,4.0,50.0,13.0,200.0,148.0,1.0,Wednesday,6,18-25
793,,10:53:00,1,Male,54.0,Beauty,1.0,30.0,14.7,30.0,15.3,,,10,51-65
1063,2022-04-08,10:26:00,56,Male,57.0,Electronics,2.0,25.0,11.0,50.0,28.0,4.0,Friday,10,51-65
1195,,07:07:00,55,Male,52.0,Clothing,1.0,30.0,12.0,30.0,18.0,,,7,51-65
1333,2022-01-11,11:38:00,151,Female,54.0,Electronics,4.0,300.0,165.0,1200.0,540.0,1.0,Tuesday,11,51-65
1379,2022-02-01,06:23:00,69,Female,47.0,Clothing,1.0,25.0,7.25,25.0,17.75,2.0,Tuesday,6,36-50
1490,,07:15:00,155,Male,34.0,Clothing,3.0,50.0,17.0,150.0,99.0,,,7,26-35
1530,2022-10-12,08:17:00,93,Female,18.0,Electronics,4.0,30.0,12.3,120.0,70.8,10.0,Wednesday,8,18-25
1740,,06:01:00,66,Female,25.0,Beauty,4.0,50.0,27.0,200.0,92.0,,,6,18-25
1793,2022-11-12,06:05:00,88,Male,54.0,Beauty,1.0,30.0,10.8,30.0,19.2,11.0,Saturday,6,51-65
85,2022-03-09,08:05:00,68,Male,31.0,Clothing,3.0,50.0,19.0,150.0,93.0,3.0,Wednesday,8,26-35
232,2022-12-08,07:14:00,150,Female,43.0,Beauty,1.0,25.0,12.75,25.0,12.25,12.0,Thursday,7,36-50
240,2022-05-11,11:49:00,95,Female,23.0,Beauty,1.0,300.0,123.0,300.0,177.0,5.0,Wednesday,11,18-25
993,2022-07-09,09:21:00,134,Female,48.0,Electronics,3.0,50.0,17.0,150.0,99.0,7.0,Saturday,9,36-50
1085,2022-12-08,09:29:00,76,Male,31.0,Clothing,3.0,50.0,17.0,150.0,99.0,12.0,Thursday,9,26-35
1232,,08:05:00,146,Female,43.0,Beauty,1.0,25.0,6.25,25.0,18.75,,,8,36-50
1240,2022-07-08,07:42:00,144,Female,23.0,Beauty,1.0,300.0,90.0,300.0,210.0,7.0,Friday,7,18-25
1993,,11:53:00,123,Female,48.0,Electronics,3.0,50.0,26.5,150.0,70.5,,,11,36-50
366,,09:32:00,116,Male,57.0,Clothing,2.0,50.0,17.5,100.0,65.0,,,9,51-65
372,,11:45:00,27,Female,24.0,Beauty,3.0,500.0,140.0,1500.0,1080.0,,,11,18-25
596,2022-12-02,08:44:00,87,Female,64.0,Electronics,1.0,300.0,93.0,300.0,207.0,12.0,Friday,8,51-65
936,2022-05-01,10:51:00,143,Male,57.0,Beauty,4.0,50.0,19.5,200.0,122.0,5.0,Sunday,10,51-65
1366,2022-01-01,11:34:00,25,Male,57.0,Clothing,2.0,50.0,23.5,100.0,53.0,1.0,Saturday,11,51-65
1372,,10:53:00,60,Female,24.0,Beauty,3.0,500.0,145.0,1500.0,1065.0,,,10,18-25
1596,,06:22:00,7,Female,64.0,Electronics,1.0,300.0,141.0,300.0,159.0,,,6,51-65
1936,,11:32:00,60,Male,57.0,Beauty,4.0,50.0,12.5,200.0,150.0,,,11,51-65
284,2022-12-11,09:17:00,129,Male,43.0,Clothing,4.0,50.0,20.5,200.0,118.0,12.0,Sunday,9,36-50
434,,06:09:00,50,Female,43.0,Electronics,2.0,25.0,8.25,50.0,33.5,,,6,36-50
775,2022-06-05,11:07:00,98,Female,46.0,Electronics,4.0,25.0,9.5,100.0,62.0,6.0,Sunday,11,36-50
977,,08:35:00,46,Female,35.0,Electronics,3.0,25.0,13.75,75.0,33.75,,,8,26-35
1284,,11:43:00,145,Male,43.0,Clothing,4.0,50.0,18.0,200.0,128.0,,,11,36-50
1434,2022-04-02,10:02:00,147,Female,43.0,Electronics,2.0,25.0,7.0,50.0,36.0,4.0,Saturday,10,36-50
1775,,08:04:00,78,Female,46.0,Electronics,4.0,25.0,13.75,100.0,45.0,,,8,36-50
1977,2022-05-08,10:46:00,63,Female,35.0,Electronics,3.0,25.0,12.0,75.0,39.0,5.0,Sunday,10,26-35
649,,08:17:00,44,Female,58.0,Clothing,2.0,300.0,135.0,600.0,330.0,,,8,51-65
1649,,07:44:00,72,Female,58.0,Clothing,2.0,300.0,75.0,600.0,450.0,,,7,51-65
54,,10:17:00,142,Female,38.0,Electronics,3.0,500.0,200.0,1500.0,900.0,,,10,36-50
68,,09:06:00,146,Male,25.0,Electronics,1.0,300.0,84.0,300.0,216.0,,,9,18-25
192,2022-08-11,08:05:00,134,Male,62.0,Beauty,2.0,50.0,13.0,100.0,74.0,8.0,Thursday,8,51-65
1054,2022-10-01,09:24:00,49,Female,38.0,Electronics,3.0,500.0,140.0,1500.0,1080.0,10.0,Saturday,9,36-50
1068,,10:11:00,136,Male,25.0,Electronics,1.0,300.0,111.0,300.0,189.0,,,10,18-25
1192,,08:41:00,37,Male,62.0,Beauty,2.0,50.0,20.5,100.0,59.0,,,8,51-65
331,,08:33:00,28,Male,28.0,Electronics,3.0,30.0,10.2,90.0,59.400000000000006,,,8,26-35
346,2022-05-09,06:54:00,38,Male,59.0,Clothing,2.0,500.0,215.0,1000.0,570.0,5.0,Monday,6,51-65
657,,08:53:00,46,Male,40.0,Clothing,1.0,25.0,8.0,25.0,17.0,,,8,36-50
732,,08:45:00,136,Male,61.0,Electronics,2.0,500.0,250.0,1000.0,500.0,,,8,51-65
972,,11:42:00,139,Male,49.0,Beauty,4.0,25.0,6.75,100.0,73.0,,,11,36-50
1331,,09:29:00,36,Male,28.0,Electronics,3.0,30.0,13.8,90.0,48.599999999999994,,,9,26-35
1346,2022-10-04,10:01:00,112,Male,59.0,Clothing,2.0,500.0,130.0,1000.0,740.0,10.0,Tuesday,10,51-65
1657,2022-09-08,10:05:00,61,Male,40.0,Clothing,1.0,25.0,8.0,25.0,17.0,9.0,Thursday,10,36-50
1732,,07:05:00,55,Male,61.0,Electronics,2.0,500.0,215.0,1000.0,570.0,,,7,51-65
1972,,06:39:00,5,Male,49.0,Beauty,4.0,25.0,9.25,100.0,63.0,,,6,36-50
714,,08:50:00,20,Female,18.0,Clothing,1.0,500.0,190.0,500.0,310.0,,,8,18-25
1714,,06:07:00,111,Female,18.0,Clothing,1.0,500.0,245.0,500.0,255.0,,,6,18-25
193,,10:40:00,55,Male,35.0,Beauty,3.0,500.0,180.0,1500.0,960.0,,,10,26-35
577,,11:55:00,45,Male,21.0,Beauty,4.0,500.0,215.0,2000.0,1140.0,,,11,18-25
848,,10:46:00,15,Female,63.0,Clothing,3.0,25.0,9.75,75.0,45.75,,,10,51-65
945,2022-01-10,10:01:00,120,Male,30.0,Beauty,1.0,25.0,13.25,25.0,11.75,1.0,Monday,10,26-35
1193,2022-11-05,11:31:00,50,Male,35.0,Beauty,3.0,500.0,145.0,1500.0,1065.0,11.0,Saturday,11,26-35
1577,2022-11-09,06:22:00,145,Male,21.0,Beauty,4.0,500.0,160.0,2000.0,1360.0,11.0,Wednesday,6,18-25
1848,,10:16:00,63,Female,63.0,Clothing,3.0,25.0,12.5,75.0,37.5,,,10,51-65
1945,,09:55:00,33,Male,30.0,Beauty,1.0,25.0,10.75,25.0,14.25,,,9,26-35
11,,10:30:00,151,Male,23.0,Clothing,2.0,50.0,23.5,100.0,53.0,,,10,18-25
821,,11:27:00,40,Male,49.0,Electronics,1.0,300.0,129.0,300.0,171.0,,,11,36-50
1011,2022-01-04,06:48:00,15,Male,23.0,Clothing,2.0,50.0,19.0,100.0,62.0,1.0,Tuesday,6,18-25
1821,2022-03-10,07:17:00,42,Male,49.0,Electronics,1.0,300.0,108.0,300.0,192.0,3.0,Thursday,7,36-50
133,,09:01:00,70,Male,20.0,Electronics,3.0,300.0,87.0,900.0,639.0,,,9,18-25
